AfghanistanAreeba Mobile,"9376, 77","1,0248",01-Feb-2016,"1,432704",60
AfghanistanAt Mobile,9375,"0,92596",01-Feb-2016,"1,3111308",60
AfghanistanAwcc Mobile,"9370, 71","0,87038",01-Feb-2016,"1,2427674",60
AfghanistanEtisalat Mobile,9378,"0,77392",01-Feb-2016,"1,1241216",60
AfghanistanOther,93,"0,89698",01-Feb-2016,"1,2754854",60
AfghanistanRoshan Mobile,"9372, 79","0,98924",01-Feb-2016,"1,3889652",60
AlbaniaAmc Fixed,"35521153, 21160, 21161, 21250, 21262, 21340, 21362, 21440, 21460, 21540, 21541, 21542, 21543, 21544, 21545, 2155, 21650, 21651, 21662, 21740, 21741, 21762, 21844, 2185, 21940, 21962, 2253, 2254, 2280, 2440, 24620, 26142, 26160, 26250, 26293, 26323, 26350, 26363, 26373, 26383, 26450, 26490, 26523, 26563, 26650, 26673, 26723, 26770, 26840, 26890, 26920, 26950, 26970, 26990, 27023, 27043, 27053, 27070, 27140, 27160, 27190, 27223, 27253, 27270, 27323, 27350, 27370, 27390, 27440, 27470, 27490, 27523, 27550, 27570, 27590, 27623, 27660, 27693, 27723, 27760, 27790, 27840, 27860, 27880, 27923, 27950, 27970, 27990, 28123, 28124, 28140, 28141, 28143, 28144, 28170, 28171, 28190, 28223, 28250, 28290, 28323, 28350, 28390, 28450, 28472, 28523, 28570, 28623, 28643, 28680, 28742, 28763, 28790, 28823, 28850, 28870, 28890, 28950, 28970, 28990, 29140, 29190, 29240, 29280, 29340, 29370, 29390, 29423, 29460, 29490, 29523, 29550, 29570, 29590, 29623, 29650, 29680, 29723, 29750, 29763, 29780, 31150, 31151, 31172, 31250, 31260, 31350, 31351, 31360, 32500, 32501, 32502, 32503, 32504, 32505, 32600, 32601, 3270, 3350, 3351, 3360, 34520, 34521, 3460, 3490, 3491, 3560, 35700, 35701, 35702, 35703, 35704, 35705, 36023, 36043, 36063, 36073, 36090, 36140, 36141, 36150, 36220, 36221, 36240, 36290, 36321, 36340, 36380, 36440, 36480, 36540, 36580, 36640, 36670, 36740, 36770, 36840, 36862, 36890, 36923, 36993, 37140, 37141, 37160, 37223, 37250, 37263, 37283, 37293, 37330, 37340, 37370, 37380, 37393, 37420, 37450, 37490, 37494, 37523, 37563, 37590, 37623, 37680, 37740, 37773, 37790, 37823, 37843, 37853, 37870, 37890, 38140, 38141, 38150, 38151, 38152, 38240, 38241, 38260, 38350, 38423, 38470, 38523, 38570, 38593, 38623, 38650, 38680, 38693, 38725, 38780, 38790, 38850, 38923, 38940, 38980, 39140, 39141, 39150, 39151, 39240, 39241, 39260, 39350, 39351, 39360, 39361, 39440, 39450, 39540, 39550, 39551, 39560, 39640, 39690, 39740, 39790, 39823, 39850, 39880, 4410, 4450, 4451, 4452, 4453, 4480, 4481, 4482, 45300, 45301, 45302, 45303, 4630, 4631, 4632, 4633, 47210, 47220, 47221, 47222, 47223, 47224, 47425, 47480, 47481, 47520, 47521, 47550, 47640, 47641, 47642, 47643, 47644, 47700, 47840, 47841, 47870, 47950, 48240, 48241, 48242, 48243, 48244, 48270, 48271, 48272, 48550, 48551, 48570, 48660, 48730, 48731, 48750, 48810, 48830, 48855, 48935, 48936, 48970, 48971, 49230, 49231, 49250, 49420, 49421, 49440, 49540, 49541, 49560, 49730, 49830, 49930, 5114, 51180, 51181, 51240, 51241, 51254, 51354, 51360, 51361, 51460, 51461, 51480, 5263, 5264, 5290, 53600, 53601, 53602, 53603, 53604, 5370, 5451, 5490, 5491, 5540, 55900, 55901, 55902, 55903, 55904, 56150, 56170, 56240, 56293, 56330, 56331, 56340, 56445, 56465, 56550, 56583, 57043, 57070, 57094, 57160, 57161, 57180, 57250, 57251, 57260, 57370, 57371, 57390, 57463, 57464, 57543, 57544, 57584, 57643, 57644, 57683, 57752, 57770, 57771, 57843, 57850, 57865, 57880, 57930, 57943, 57963, 57993, 58023, 58070, 58073, 58144, 58150, 58151, 58244, 58250, 58323, 58373, 58424, 58430, 58460, 58484, 58494, 58540, 58564, 58580, 58594, 58624, 58670, 58693, 58724, 58764, 58790, 58824, 58842, 58852, 58882, 58924, 58943, 58953, 58983, 59144, 59150, 59240, 59324, 59360, 59394, 59424, 59462, 59492, 59540, 59572, 59622, 59664, 59674, 59684, 59694, 59722, 59754, 59770, 59794, 72780, 81140, 81141, 81154, 81240, 81241, 81270, 81340, 81341, 81372, 81450, 81451, 81472, 81540, 81572, 8250, 8290, 8291, 8340, 83600, 83601, 83602, 83603, 83604, 83605, 8460, 84820, 8550, 85820, 86022, 86070, 86082, 86144, 86150, 86220, 86230, 86260, 86320, 86321, 86340, 86344, 86372, 86420, 86424, 86450, 86462, 86472, 86494, 86524, 86560, 86572, 86582, 86622, 86630, 86672, 86750, 86796, 86820, 86850, 86880, 86892, 86922, 86930, 86972, 87142, 87150, 87151, 87174, 87184, 87194, 87224, 87270, 87294, 87322, 87392, 87442, 87482, 87540, 87562, 87622, 87652, 87672, 87692, 87722, 87760, 87790, 88140, 88162, 88194, 88222, 88262, 88274, 88294, 88324, 88364, 88372, 88392, 88440, 88480, 88540, 88562, 88590, 88640, 88682, 88692, 88722, 88750, 88770, 88790, 89140, 89146, 89164, 89192, 89224, 89280, 89324, 89422, 89480, 89524, 89562, 89590","0,77",01-Feb-2016,"1,1193",60
AlbaniaAmc Mobile,35568,"1,76414",01-Feb-2016,"2,3420922",60
AlbaniaEagle Mobile,35567,"1,82392",01-Feb-2016,"2,4156216",60
AlbaniaOther,355,"0,73066",01-Feb-2016,"1,0709118",60
